ANNEE,INDICATEUR,SOUS-INDICATEUR,PLF_NORMAL,CFX_NORMAL,TOTAL_NORMAL,UNITE,MODE,PLF_CRISE,CFX_CRISE,TOTAL_CRISE,ECART_TOTAL,VARIATION_PCT
2012,Equipement Intervention et Chirurgical,Appareils angionumérisés - Cardiologie/Neuroradio ,10.0,0.0,10.0,appareils,Normal,15.0,0.0,15.0,5.0,50.0
2013,Equipement Intervention et Chirurgical,Appareils angionumérisés - Cardiologie/Neuroradio ,10.0,0.0,10.0,appareils,Normal,15.0,0.0,15.0,5.0,50.0
2014,Equipement Intervention et Chirurgical,Appareils angionumérisés - Cardiologie/Neuroradio ,10.0,0.0,10.0,appareils,Normal,15.0,0.0,15.0,5.0,50.0
2015,Equipement Intervention et Chirurgical,Appareils angionumérisés - Cardiologie/Neuroradio ,10.0,0.0,10.0,appareils,Normal,15.0,0.0,15.0,5.0,50.0
2016,Equipement Intervention et Chirurgical,Appareils angionumérisés - Cardiologie/Neuroradio ,10.0,0.0,10.0,appareils,Normal,15.0,0.0,15.0,5.0,50.0
2011,Equipement Intervention et Chirurgical,Gamma Knife - Neurochirrurgie,1.0,0.0,1.0,appareils,Normal,1.5,0.0,1.5,0.5,50.0
2012,Equipement Intervention et Chirurgical,Gamma Knife - Neurochirrurgie,1.0,0.0,1.0,appareils,Normal,1.5,0.0,1.5,0.5,50.0
2013,Equipement Intervention et Chirurgical,Gamma Knife - Neurochirrurgie,1.0,0.0,1.0,appareils,Normal,1.5,0.0,1.5,0.5,50.0
2014,Equipement Intervention et Chirurgical,Gamma Knife - Neurochirrurgie,1.0,0.0,1.0,appareils,Normal,1.5,0.0,1.5,0.5,50.0
2015,Equipement Intervention et Chirurgical,Gamma Knife - Neurochirrurgie,1.0,0.0,1.0,appareils,Normal,1.5,0.0,1.5,0.5,50.0
2016,Equipement Intervention et Chirurgical,Gamma Knife - Neurochirrurgie,1.0,0.0,1.0,appareils,Normal,1.5,0.0,1.5,0.5,50.0
2011,Equipement Intervention et Chirurgical,Robot chirurgical - Chirurgie mini-invasive,0.5,0.5,1.0,appareils,Normal,0.75,0.75,1.5,0.5,50.0
2012,Equipement Intervention et Chirurgical,Robot chirurgical - Chirurgie mini-invasive,0.5,0.5,1.0,appareils,Normal,0.75,0.75,1.5,0.5,50.0
2013,Equipement Intervention et Chirurgical,Robot chirurgical - Chirurgie mini-invasive,0.5,0.5,1.0,appareils,Normal,0.75,0.75,1.5,0.5,50.0
2014,Equipement Intervention et Chirurgical,Robot chirurgical - Chirurgie mini-invasive,0.5,0.5,1.0,appareils,Normal,0.75,0.75,1.5,0.5,50.0
2015,Equipement Intervention et Chirurgical,Robot chirurgical - Chirurgie mini-invasive,0.5,0.5,1.0,appareils,Normal,0.75,0.75,1.5,0.5,50.0
2016,Equipement Intervention et Chirurgical,Robot chirurgical - Chirurgie mini-invasive,0.5,0.5,1.0,appareils,Normal,0.75,0.75,1.5,0.5,50.0
2011,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,22.5,22.5,45.0,salles,Normal,33.75,33.75,67.5,22.5,50.0
2012,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,22.5,22.5,45.0,salles,Normal,33.75,33.75,67.5,22.5,50.0
2013,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,22.5,22.5,45.0,salles,Normal,33.75,33.75,67.5,22.5,50.0
2014,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,22.5,22.5,45.0,salles,Normal,33.75,33.75,67.5,22.5,50.0
2015,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,22.5,22.5,45.0,salles,Normal,33.75,33.75,67.5,22.5,50.0
2016,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,22.5,22.5,45.0,salles,Normal,33.75,33.75,67.5,22.5,50.0
2011,Equipements,Laboratoire,15.0,1.0,16.0,laboratoires,Normal,22.5,1.5,24.0,8.0,50.0
2012,Equipements,Laboratoire,15.0,1.0,16.0,laboratoires,Normal,22.5,1.5,24.0,8.0,50.0
2013,Equipements,Laboratoire,15.0,1.0,16.0,laboratoires,Normal,22.5,1.5,24.0,8.0,50.0
2014,Equipements,Laboratoire,15.0,1.0,16.0,laboratoires,Normal,22.5,1.5,24.0,8.0,50.0
2015,Equipements,Laboratoire,15.0,1.0,16.0,laboratoires,Normal,22.5,1.5,24.0,8.0,50.0
2016,Equipements,Laboratoire,15.0,1.0,16.0,laboratoires,Normal,22.5,1.5,24.0,8.0,50.0
2011,Equipements,Laboratoires,15.0,1.0,16.0,laboratoires,Normal,22.5,1.5,24.0,8.0,50.0
2012,Equipements,Laboratoires,15.0,1.0,16.0,laboratoires,Normal,22.5,1.5,24.0,8.0,50.0
2013,Equipements,Laboratoires,15.0,1.0,16.0,laboratoires,Normal,22.5,1.5,24.0,8.0,50.0
2011,Imagerie,IRM,5.0,0.0,5.0,appareils,Normal,7.5,0.0,7.5,2.5,50.0
2012,Imagerie,IRM,5.0,0.0,5.0,appareils,Normal,7.5,0.0,7.5,2.5,50.0
2013,Imagerie,IRM,5.0,0.0,5.0,appareils,Normal,7.5,0.0,7.5,2.5,50.0
2014,Imagerie,IRM,5.0,0.0,5.0,appareils,Normal,7.5,0.0,7.5,2.5,50.0
2015,Imagerie,IRM,5.0,0.0,5.0,appareils,Normal,7.5,0.0,7.5,2.5,50.0
2016,Imagerie,IRM,5.0,0.0,5.0,appareils,Normal,7.5,0.0,7.5,2.5,50.0
2011,Imagerie,IRM ,5.0,0.0,5.0,appareils,Normal,7.5,0.0,7.5,2.5,50.0
2012,Imagerie,IRM ,5.0,0.0,5.0,appareils,Normal,7.5,0.0,7.5,2.5,50.0
2013,Imagerie,IRM ,5.0,0.0,5.0,appareils,Normal,7.5,0.0,7.5,2.5,50.0
2011,Imagerie,Scanner interventionnel,1.0,0.0,1.0,scanners,Normal,1.5,0.0,1.5,0.5,50.0
2012,Imagerie,Scanner interventionnel,1.0,0.0,1.0,scanners,Normal,1.5,0.0,1.5,0.5,50.0
2013,Imagerie,Scanner interventionnel,1.0,0.0,1.0,scanners,Normal,1.5,0.0,1.5,0.5,50.0
2014,Imagerie,Scanner interventionnel,1.0,0.0,1.0,scanners,Normal,1.5,0.0,1.5,0.5,50.0
2015,Imagerie,Scanner interventionnel,1.0,0.0,1.0,scanners,Normal,1.5,0.0,1.5,0.5,50.0
2016,Imagerie,Scanner interventionnel,1.0,0.0,1.0,scanners,Normal,1.5,0.0,1.5,0.5,50.0
2011,Imagerie,Scanner interventionnel ,1.0,0.0,1.0,scanners,Normal,1.5,0.0,1.5,0.5,50.0
2012,Imagerie,Scanner interventionnel ,1.0,0.0,1.0,scanners,Normal,1.5,0.0,1.5,0.5,50.0
2013,Imagerie,Scanner interventionnel ,1.0,0.0,1.0,scanners,Normal,1.5,0.0,1.5,0.5,50.0
2011,Nombre de lits,Gynécologie Obstétrique,56.0,0.0,56.0,lits,Normal,84.0,0.0,84.0,28.0,50.0
2012,Nombre de lits,Gynécologie Obstétrique,56.0,0.0,56.0,lits,Normal,84.0,0.0,84.0,28.0,50.0
2013,Nombre de lits,Gynécologie Obstétrique,56.0,0.0,56.0,lits,Normal,84.0,0.0,84.0,28.0,50.0
2014,Nombre de lits,Gynécologie Obstétrique,56.0,0.0,56.0,lits,Normal,84.0,0.0,84.0,28.0,50.0
2015,Nombre de lits,Gynécologie Obstétrique,56.0,0.0,56.0,lits,Normal,84.0,0.0,84.0,28.0,50.0
2016,Nombre de lits,Gynécologie Obstétrique,56.0,0.0,56.0,lits,Normal,84.0,0.0,84.0,28.0,50.0
2011,Nombre de lits,Lits,1647.0,485.0,2132.0,lits,Normal,2470.5,727.5,3198.0,1066.0,50.0
2012,Nombre de lits,Lits,1647.0,485.0,2132.0,lits,Normal,2470.5,727.5,3198.0,1066.0,50.0
2013,Nombre de lits,Lits,1678.67,481.33,2160.0,lits,Normal,2518.0,722.0,3240.0,1080.0,50.0
2014,Nombre de lits,Lits,1710.33,477.67,2188.0,lits,Normal,2565.5,716.5,3282.0,1094.0,50.0
2015,Nombre de lits,Lits,1742.0,474.0,2216.0,lits,Normal,2613.0,711.0,3324.0,1108.0,50.0
2016,Nombre de lits,Lits,1742.0,474.0,2216.0,lits,Normal,2613.0,711.0,3324.0,1108.0,50.0
2011,Nombre de lits,Lits de jour,131.5,131.5,263.0,lits,Normal,197.25,197.25,394.5,131.5,50.0
2012,Nombre de lits,Lits de jour,131.5,131.5,263.0,lits,Normal,197.25,197.25,394.5,131.5,50.0
2013,Nombre de lits,Lits de jour,131.5,131.5,263.0,lits,Normal,197.25,197.25,394.5,131.5,50.0
2014,Nombre de lits,Lits de jour,131.5,131.5,263.0,lits,Normal,197.25,197.25,394.5,131.5,50.0
2015,Nombre de lits,Lits de jour,131.5,131.5,263.0,lits,Normal,197.25,197.25,394.5,131.5,50.0
2016,Nombre de lits,Lits de jour,131.5,131.5,263.0,lits,Normal,197.25,197.25,394.5,131.5,50.0
2011,Nombre de lits,Lits de réanimation,78.0,0.0,78.0,lits,Normal,117.0,0.0,117.0,39.0,50.0
2012,Nombre de lits,Lits de réanimation,78.0,0.0,78.0,lits,Normal,117.0,0.0,117.0,39.0,50.0
2013,Nombre de lits,Lits de réanimation,82.67,0.0,82.67,lits,Normal,124.0,0.0,124.0,41.33,49.99
2014,Nombre de lits,Lits de réanimation,87.33,0.0,87.33,lits,Normal,131.0,0.0,131.0,43.67,50.01
2015,Nombre de lits,Lits de réanimation,92.0,0.0,92.0,lits,Normal,138.0,0.0,138.0,46.0,50.0
2016,Nombre de lits,Lits de réanimation,92.0,0.0,92.0,lits,Normal,138.0,0.0,138.0,46.0,50.0
2011,Nombre de lits,Lits de soins intensifs,48.5,48.5,97.0,lits,Normal,72.75,72.75,145.5,48.5,50.0
2012,Nombre de lits,Lits de soins intensifs,48.5,48.5,97.0,lits,Normal,72.75,72.75,145.5,48.5,50.0
2013,Nombre de lits,Lits de soins intensifs,48.5,48.5,97.0,lits,Normal,72.75,72.75,145.5,48.5,50.0
2014,Nombre de lits,Lits de soins intensifs,48.5,48.5,97.0,lits,Normal,72.75,72.75,145.5,48.5,50.0
2015,Nombre de lits,Lits de soins intensifs,48.5,48.5,97.0,lits,Normal,72.75,72.75,145.5,48.5,50.0
2016,Nombre de lits,Lits de soins intensifs,48.5,48.5,97.0,lits,Normal,72.75,72.75,145.5,48.5,50.0
2011,Nombre de lits,Lits de soins intensifs ,88.0,0.0,88.0,lits,Normal,132.0,0.0,132.0,44.0,50.0
2012,Nombre de lits,Lits de soins intensifs ,88.0,0.0,88.0,lits,Normal,132.0,0.0,132.0,44.0,50.0
2013,Nombre de lits,Lits de soins intensifs ,88.0,0.0,88.0,lits,Normal,132.0,0.0,132.0,44.0,50.0
2011,Nombre de lits,Lits de surveillance continue,37.0,0.0,37.0,lits,Normal,55.5,0.0,55.5,18.5,50.0
2012,Nombre de lits,Lits de surveillance continue,37.0,0.0,37.0,lits,Normal,55.5,0.0,55.5,18.5,50.0
2013,Nombre de lits,Lits de surveillance continue,45.0,0.0,45.0,lits,Normal,67.5,0.0,67.5,22.5,50.0
2014,Nombre de lits,Lits de surveillance continue,53.0,0.0,53.0,lits,Normal,79.5,0.0,79.5,26.5,50.0
2015,Nombre de lits,Lits de surveillance continue,61.0,0.0,61.0,lits,Normal,91.5,0.0,91.5,30.5,50.0
2016,Nombre de lits,Lits de surveillance continue,61.0,0.0,61.0,lits,Normal,91.5,0.0,91.5,30.5,50.0
2011,Nombre de lits,Lits installés (toutes disciplines),1114.5,1114.5,2229.0,lits,Normal,1671.75,1671.75,3343.5,1114.5,50.0
2012,Nombre de lits,Lits installés (toutes disciplines),1114.5,1114.5,2229.0,lits,Normal,1671.75,1671.75,3343.5,1114.5,50.0
2013,Nombre de lits,Lits installés (toutes disciplines),1114.5,1114.5,2229.0,lits,Normal,1671.75,1671.75,3343.5,1114.5,50.0
2014,Nombre de lits,Lits installés (toutes disciplines),1114.5,1114.5,2229.0,lits,Normal,1671.75,1671.75,3343.5,1114.5,50.0
2015,Nombre de lits,Lits installés (toutes disciplines),1114.5,1114.5,2229.0,lits,Normal,1671.75,1671.75,3343.5,1114.5,50.0
2016,Nombre de lits,Lits installés (toutes disciplines),1114.5,1114.5,2229.0,lits,Normal,1671.75,1671.75,3343.5,1114.5,50.0
2017,Nombre de lits,Lits installés (toutes disciplines),1114.5,1114.5,2229.0,lits,Normal,1671.75,1671.75,3343.5,1114.5,50.0
2011,Nombre de lits,"MCO – Médecine, Chirurgie, Obstétrique",809.0,809.0,1618.0,lits,Normal,1213.5,1213.5,2427.0,809.0,50.0
2012,Nombre de lits,"MCO – Médecine, Chirurgie, Obstétrique",809.0,809.0,1618.0,lits,Normal,1213.5,1213.5,2427.0,809.0,50.0
2013,Nombre de lits,"MCO – Médecine, Chirurgie, Obstétrique",809.0,809.0,1618.0,lits,Normal,1213.5,1213.5,2427.0,809.0,50.0
2014,Nombre de lits,"MCO – Médecine, Chirurgie, Obstétrique",809.0,809.0,1618.0,lits,Normal,1213.5,1213.5,2427.0,809.0,50.0
2015,Nombre de lits,"MCO – Médecine, Chirurgie, Obstétrique",809.0,809.0,1618.0,lits,Normal,1213.5,1213.5,2427.0,809.0,50.0
2016,Nombre de lits,"MCO – Médecine, Chirurgie, Obstétrique",809.0,809.0,1618.0,lits,Normal,1213.5,1213.5,2427.0,809.0,50.0
2011,Nombre de lits,Médecine,866.0,132.0,998.0,lits,Normal,1299.0,198.0,1497.0,499.0,50.0
2012,Nombre de lits,Médecine,866.0,132.0,998.0,lits,Normal,1299.0,198.0,1497.0,499.0,50.0
2013,Nombre de lits,Médecine,866.0,132.0,998.0,lits,Normal,1299.0,198.0,1497.0,499.0,50.0
2014,Nombre de lits,Médecine,866.0,132.0,998.0,lits,Normal,1299.0,198.0,1497.0,499.0,50.0
2015,Nombre de lits,Médecine,866.0,132.0,998.0,lits,Normal,1299.0,198.0,1497.0,499.0,50.0
2016,Nombre de lits,Médecine,866.0,132.0,998.0,lits,Normal,1299.0,198.0,1497.0,499.0,50.0
2011,Nombre de lits,Obstétrique,64.0,0.0,64.0,lits,Normal,96.0,0.0,96.0,32.0,50.0
2012,Nombre de lits,Obstétrique,64.0,0.0,64.0,lits,Normal,96.0,0.0,96.0,32.0,50.0
2013,Nombre de lits,Obstétrique,64.0,0.0,64.0,lits,Normal,96.0,0.0,96.0,32.0,50.0
2011,Nombre de lits,PSY – Psychiatrie,67.0,67.0,134.0,lits,Normal,100.5,100.5,201.0,67.0,50.0
2012,Nombre de lits,PSY – Psychiatrie,67.0,67.0,134.0,lits,Normal,100.5,100.5,201.0,67.0,50.0
2013,Nombre de lits,PSY – Psychiatrie,67.0,67.0,134.0,lits,Normal,100.5,100.5,201.0,67.0,50.0
2014,Nombre de lits,PSY – Psychiatrie,67.0,67.0,134.0,lits,Normal,100.5,100.5,201.0,67.0,50.0
2015,Nombre de lits,PSY – Psychiatrie,67.0,67.0,134.0,lits,Normal,100.5,100.5,201.0,67.0,50.0
2016,Nombre de lits,PSY – Psychiatrie,67.0,67.0,134.0,lits,Normal,100.5,100.5,201.0,67.0,50.0
2011,Nombre de lits,Psycho (PSY),115.0,19.0,134.0,lits,Normal,172.5,28.5,201.0,67.0,50.0
2012,Nombre de lits,Psycho (PSY),115.0,19.0,134.0,lits,Normal,172.5,28.5,201.0,67.0,50.0
2013,Nombre de lits,Psycho (PSY),115.0,19.0,134.0,lits,Normal,172.5,28.5,201.0,67.0,50.0
2014,Nombre de lits,Psycho (PSY),115.0,19.0,134.0,lits,Normal,172.5,28.5,201.0,67.0,50.0
2015,Nombre de lits,Psycho (PSY),115.0,19.0,134.0,lits,Normal,172.5,28.5,201.0,67.0,50.0
2016,Nombre de lits,Psycho (PSY),115.0,19.0,134.0,lits,Normal,172.5,28.5,201.0,67.0,50.0
2011,Nombre de lits,Pôle 1,191.0,191.0,382.0,lits,Normal,286.5,286.5,573.0,191.0,50.0
2012,Nombre de lits,Pôle 1,191.0,191.0,382.0,lits,Normal,286.5,286.5,573.0,191.0,50.0
2013,Nombre de lits,Pôle 1,190.83,190.83,381.67,lits,Normal,286.24,286.24,572.48,190.81,49.99
2014,Nombre de lits,Pôle 1,190.67,190.67,381.33,lits,Normal,286.0,286.0,572.0,190.67,50.0
2015,Nombre de lits,Pôle 1,190.5,190.5,381.0,lits,Normal,285.75,285.75,571.5,190.5,50.0
2016,Nombre de lits,Pôle 1,190.5,190.5,381.0,lits,Normal,285.75,285.75,571.5,190.5,50.0
2011,Nombre de lits,Pôle 10,33.5,33.5,67.0,lits,Normal,50.25,50.25,100.5,33.5,50.0
2012,Nombre de lits,Pôle 10,33.5,33.5,67.0,lits,Normal,50.25,50.25,100.5,33.5,50.0
2013,Nombre de lits,Pôle 10,36.17,36.17,72.33,lits,Normal,54.26,54.26,108.52,36.19,50.03
2014,Nombre de lits,Pôle 10,38.83,38.83,77.67,lits,Normal,58.24,58.24,116.48,38.81,49.97
2015,Nombre de lits,Pôle 10,41.5,41.5,83.0,lits,Normal,62.25,62.25,124.5,41.5,50.0
2016,Nombre de lits,Pôle 10,41.5,41.5,83.0,lits,Normal,62.25,62.25,124.5,41.5,50.0
2011,Nombre de lits,Pôle 11,232.5,232.5,465.0,lits,Normal,348.75,348.75,697.5,232.5,50.0
2012,Nombre de lits,Pôle 11,232.5,232.5,465.0,lits,Normal,348.75,348.75,697.5,232.5,50.0
2013,Nombre de lits,Pôle 11,230.83,230.83,461.67,lits,Normal,346.24,346.24,692.48,230.81,49.99
2014,Nombre de lits,Pôle 11,229.17,229.17,458.33,lits,Normal,343.76,343.76,687.52,229.19,50.01
2015,Nombre de lits,Pôle 11,227.5,227.5,455.0,lits,Normal,341.25,341.25,682.5,227.5,50.0
2016,Nombre de lits,Pôle 11,227.5,227.5,455.0,lits,Normal,341.25,341.25,682.5,227.5,50.0
2011,Nombre de lits,Pôle 2,76.0,76.0,152.0,lits,Normal,114.0,114.0,228.0,76.0,50.0
2012,Nombre de lits,Pôle 2,76.0,76.0,152.0,lits,Normal,114.0,114.0,228.0,76.0,50.0
2013,Nombre de lits,Pôle 2,80.67,80.67,161.33,lits,Normal,121.0,121.0,242.0,80.67,50.0
2014,Nombre de lits,Pôle 2,85.33,85.33,170.67,lits,Normal,128.0,128.0,256.0,85.33,50.0
2015,Nombre de lits,Pôle 2,90.0,90.0,180.0,lits,Normal,135.0,135.0,270.0,90.0,50.0
2016,Nombre de lits,Pôle 2,90.0,90.0,180.0,lits,Normal,135.0,135.0,270.0,90.0,50.0
2011,Nombre de lits,Pôle 3,209.0,209.0,418.0,lits,Normal,313.5,313.5,627.0,209.0,50.0
2012,Nombre de lits,Pôle 3,209.0,209.0,418.0,lits,Normal,313.5,313.5,627.0,209.0,50.0
2013,Nombre de lits,Pôle 3,211.17,211.17,422.33,lits,Normal,316.76,316.76,633.52,211.19,50.01
2014,Nombre de lits,Pôle 3,213.33,213.33,426.67,lits,Normal,320.0,320.0,640.0,213.33,50.0
2015,Nombre de lits,Pôle 3,215.5,215.5,431.0,lits,Normal,323.25,323.25,646.5,215.5,50.0
2016,Nombre de lits,Pôle 3,215.5,215.5,431.0,lits,Normal,323.25,323.25,646.5,215.5,50.0
2011,Nombre de lits,Pôle 4,59.5,59.5,119.0,lits,Normal,89.25,89.25,178.5,59.5,50.0
2012,Nombre de lits,Pôle 4,59.5,59.5,119.0,lits,Normal,89.25,89.25,178.5,59.5,50.0
2013,Nombre de lits,Pôle 4,63.17,63.17,126.33,lits,Normal,94.76,94.76,189.52,63.19,50.02
2014,Nombre de lits,Pôle 4,66.83,66.83,133.67,lits,Normal,100.24,100.24,200.48,66.81,49.98
2015,Nombre de lits,Pôle 4,70.5,70.5,141.0,lits,Normal,105.75,105.75,211.5,70.5,50.0
2016,Nombre de lits,Pôle 4,70.5,70.5,141.0,lits,Normal,105.75,105.75,211.5,70.5,50.0
2011,Nombre de lits,Pôle 5,128.5,128.5,257.0,lits,Normal,192.75,192.75,385.5,128.5,50.0
2012,Nombre de lits,Pôle 5,128.5,128.5,257.0,lits,Normal,192.75,192.75,385.5,128.5,50.0
2013,Nombre de lits,Pôle 5,133.33,133.33,266.67,lits,Normal,200.0,200.0,400.0,133.33,50.0
2014,Nombre de lits,Pôle 5,138.17,138.17,276.33,lits,Normal,207.26,207.26,414.52,138.19,50.01
2015,Nombre de lits,Pôle 5,143.0,143.0,286.0,lits,Normal,214.5,214.5,429.0,143.0,50.0
2016,Nombre de lits,Pôle 5,143.0,143.0,286.0,lits,Normal,214.5,214.5,429.0,143.0,50.0
2011,Nombre de lits,Pôle 6,0.0,0.0,0.0,lits,Normal,0.0,0.0,0.0,0.0,
2012,Nombre de lits,Pôle 6,0.0,0.0,0.0,lits,Normal,0.0,0.0,0.0,0.0,
2013,Nombre de lits,Pôle 6,0.0,0.0,0.0,lits,Normal,0.0,0.0,0.0,0.0,
2014,Nombre de lits,Pôle 6,0.0,0.0,0.0,lits,Normal,0.0,0.0,0.0,0.0,
2015,Nombre de lits,Pôle 6,0.0,0.0,0.0,lits,Normal,0.0,0.0,0.0,0.0,
2016,Nombre de lits,Pôle 6,0.0,0.0,0.0,lits,Normal,0.0,0.0,0.0,0.0,
2011,Nombre de lits,Pôle 7,131.5,131.5,263.0,lits,Normal,197.25,197.25,394.5,131.5,50.0
2012,Nombre de lits,Pôle 7,131.5,131.5,263.0,lits,Normal,197.25,197.25,394.5,131.5,50.0
2013,Nombre de lits,Pôle 7,129.0,129.0,258.0,lits,Normal,193.5,193.5,387.0,129.0,50.0
2014,Nombre de lits,Pôle 7,126.5,126.5,253.0,lits,Normal,189.75,189.75,379.5,126.5,50.0
2015,Nombre de lits,Pôle 7,124.0,124.0,248.0,lits,Normal,186.0,186.0,372.0,124.0,50.0
2016,Nombre de lits,Pôle 7,124.0,124.0,248.0,lits,Normal,186.0,186.0,372.0,124.0,50.0
2011,Nombre de lits,Pôle 8,2.0,2.0,4.0,lits,Normal,3.0,3.0,6.0,2.0,50.0
2012,Nombre de lits,Pôle 8,2.0,2.0,4.0,lits,Normal,3.0,3.0,6.0,2.0,50.0
2013,Nombre de lits,Pôle 8,2.33,2.33,4.67,lits,Normal,3.5,3.5,7.0,2.33,49.89
2014,Nombre de lits,Pôle 8,2.67,2.67,5.33,lits,Normal,4.0,4.0,8.0,2.67,50.09
2015,Nombre de lits,Pôle 8,3.0,3.0,6.0,lits,Normal,4.5,4.5,9.0,3.0,50.0
2016,Nombre de lits,Pôle 8,3.0,3.0,6.0,lits,Normal,4.5,4.5,9.0,3.0,50.0
