year,month,site_code,indicateur,sous_indicateur,unite,value,type,value_crise
2011,6,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,VOLATILE,0.45
2011,7,CFX,Confort et propreté de la chambre,Mauvais,%,0.35,VOLATILE,0.33
2011,8,CFX,Confort et propreté de la chambre,Mauvais,%,0.35,VOLATILE,0.36
2011,9,CFX,Confort et propreté de la chambre,Mauvais,%,0.35,VOLATILE,0.45
2011,10,CFX,Confort et propreté de la chambre,Mauvais,%,0.35,VOLATILE,0.36
2011,11,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,VOLATILE,0.33
2011,12,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,VOLATILE,0.36
2012,1,CFX,Confort et propreté de la chambre,Mauvais,%,0.39,VOLATILE,0.29
2012,2,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,VOLATILE,0.31
2012,3,CFX,Confort et propreté de la chambre,Mauvais,%,0.35,VOLATILE,0.33
2012,4,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,VOLATILE,0.38
2012,5,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,VOLATILE,0.43
2012,6,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,VOLATILE,0.45
2012,7,CFX,Confort et propreté de la chambre,Mauvais,%,0.35,VOLATILE,0.33
2012,8,CFX,Confort et propreté de la chambre,Mauvais,%,0.35,VOLATILE,0.36
2012,9,CFX,Confort et propreté de la chambre,Mauvais,%,0.35,VOLATILE,0.45
2012,10,CFX,Confort et propreté de la chambre,Mauvais,%,0.35,VOLATILE,0.36
2012,11,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,VOLATILE,0.33
2012,12,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,VOLATILE,0.36
2013,1,CFX,Confort et propreté de la chambre,Mauvais,%,0.39,VOLATILE,0.29
2013,2,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,VOLATILE,0.31
2013,3,CFX,Confort et propreté de la chambre,Mauvais,%,0.35,VOLATILE,0.33
2013,4,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,VOLATILE,0.38
2013,5,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,VOLATILE,0.43
2013,6,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,VOLATILE,0.45
2013,7,CFX,Confort et propreté de la chambre,Mauvais,%,0.35,VOLATILE,0.33
2013,8,CFX,Confort et propreté de la chambre,Mauvais,%,0.35,VOLATILE,0.36
2013,9,CFX,Confort et propreté de la chambre,Mauvais,%,0.35,VOLATILE,0.45
2013,10,CFX,Confort et propreté de la chambre,Mauvais,%,0.35,VOLATILE,0.36
2013,11,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,VOLATILE,0.33
2013,12,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,VOLATILE,0.36
2017,1,CFX,Confort et propreté de la chambre,Mauvais,%,0.39,,0.29
2017,2,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,,0.31
2017,3,CFX,Confort et propreté de la chambre,Mauvais,%,0.35,,0.33
2017,4,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,,0.38
2017,5,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,,0.43
2017,6,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,,0.45
2017,7,CFX,Confort et propreté de la chambre,Mauvais,%,0.35,,0.33
2017,8,CFX,Confort et propreté de la chambre,Mauvais,%,0.35,,0.36
2017,9,CFX,Confort et propreté de la chambre,Mauvais,%,0.35,,0.45
2017,10,CFX,Confort et propreté de la chambre,Mauvais,%,0.35,,0.36
2017,11,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,,0.33
2017,12,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,,0.36
2011,1,CFX,Confort et propreté de la chambre,Tres bon ,%,1.33,VOLATILE,1.01
2011,2,CFX,Confort et propreté de la chambre,Tres bon ,%,1.26,VOLATILE,0.99
2011,3,CFX,Confort et propreté de la chambre,Tres bon ,%,1.21,VOLATILE,1.14
2011,4,CFX,Confort et propreté de la chambre,Tres bon ,%,1.33,VOLATILE,1.36
2011,5,CFX,Confort et propreté de la chambre,Tres bon ,%,1.27,VOLATILE,1.46
2011,6,CFX,Confort et propreté de la chambre,Tres bon ,%,1.24,VOLATILE,1.46
2011,7,CFX,Confort et propreté de la chambre,Tres bon ,%,1.18,VOLATILE,1.27
2011,8,CFX,Confort et propreté de la chambre,Tres bon ,%,1.27,VOLATILE,1.29
2011,9,CFX,Confort et propreté de la chambre,Tres bon ,%,1.19,VOLATILE,1.5
2011,10,CFX,Confort et propreté de la chambre,Tres bon ,%,1.16,VOLATILE,1.22
2011,11,CFX,Confort et propreté de la chambre,Tres bon ,%,1.27,VOLATILE,1.16
2011,12,CFX,Confort et propreté de la chambre,Tres bon ,%,1.29,VOLATILE,1.15
2012,1,CFX,Confort et propreté de la chambre,Tres bon ,%,1.31,VOLATILE,0.95
2012,2,CFX,Confort et propreté de la chambre,Tres bon ,%,1.28,VOLATILE,1.06
2012,3,CFX,Confort et propreté de la chambre,Tres bon ,%,1.2,VOLATILE,1.19
2012,4,CFX,Confort et propreté de la chambre,Tres bon ,%,1.27,VOLATILE,1.32
2012,5,CFX,Confort et propreté de la chambre,Tres bon ,%,1.28,VOLATILE,1.47
2012,6,CFX,Confort et propreté de la chambre,Tres bon ,%,1.3,VOLATILE,1.49
2012,7,CFX,Confort et propreté de la chambre,Tres bon ,%,1.2,VOLATILE,1.11
2012,8,CFX,Confort et propreté de la chambre,Tres bon ,%,1.2,VOLATILE,1.17
2012,9,CFX,Confort et propreté de la chambre,Tres bon ,%,1.16,VOLATILE,1.7
2012,10,CFX,Confort et propreté de la chambre,Tres bon ,%,1.22,VOLATILE,1.14
2012,11,CFX,Confort et propreté de la chambre,Tres bon ,%,1.26,VOLATILE,1.14
2012,12,CFX,Confort et propreté de la chambre,Tres bon ,%,1.31,VOLATILE,1.27
2013,1,CFX,Confort et propreté de la chambre,Tres bon ,%,1.34,VOLATILE,0.94
2013,2,CFX,Confort et propreté de la chambre,Tres bon ,%,1.23,VOLATILE,1.15
2013,3,CFX,Confort et propreté de la chambre,Tres bon ,%,1.22,VOLATILE,1.1
2013,4,CFX,Confort et propreté de la chambre,Tres bon ,%,1.23,VOLATILE,1.27
2013,5,CFX,Confort et propreté de la chambre,Tres bon ,%,1.22,VOLATILE,1.46
2013,6,CFX,Confort et propreté de la chambre,Tres bon ,%,1.28,VOLATILE,1.56
2013,7,CFX,Confort et propreté de la chambre,Tres bon ,%,1.24,VOLATILE,1.18
2013,8,CFX,Confort et propreté de la chambre,Tres bon ,%,1.24,VOLATILE,1.18
2013,9,CFX,Confort et propreté de la chambre,Tres bon ,%,1.24,VOLATILE,1.59
2013,10,CFX,Confort et propreté de la chambre,Tres bon ,%,1.21,VOLATILE,1.1
2013,11,CFX,Confort et propreté de la chambre,Tres bon ,%,1.25,VOLATILE,1.25
2013,12,CFX,Confort et propreté de la chambre,Tres bon ,%,1.29,VOLATILE,1.21
2017,1,CFX,Confort et propreté de la chambre,Tres bon ,%,1.33,,0.93
2017,2,CFX,Confort et propreté de la chambre,Tres bon ,%,1.26,,1.16
2017,3,CFX,Confort et propreté de la chambre,Tres bon ,%,1.21,,1.09
2017,4,CFX,Confort et propreté de la chambre,Tres bon ,%,1.26,,1.25
2017,5,CFX,Confort et propreté de la chambre,Tres bon ,%,1.26,,1.46
2017,6,CFX,Confort et propreté de la chambre,Tres bon ,%,1.29,,1.57
2017,7,CFX,Confort et propreté de la chambre,Tres bon ,%,1.22,,1.16
2017,8,CFX,Confort et propreté de la chambre,Tres bon ,%,1.23,,1.16
2017,9,CFX,Confort et propreté de la chambre,Tres bon ,%,1.2,,1.6
2017,10,CFX,Confort et propreté de la chambre,Tres bon ,%,1.21,,1.08
2017,11,CFX,Confort et propreté de la chambre,Tres bon ,%,1.26,,1.26
2017,12,CFX,Confort et propreté de la chambre,Tres bon ,%,1.3,,1.21
2011,1,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,VOLATILE,0.08
2011,2,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,VOLATILE,0.09
2011,3,CFX,Confort et propreté de la chambre,Très mauvais,%,0.1,VOLATILE,0.1
2011,4,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,VOLATILE,0.11
2011,5,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,VOLATILE,0.12
2011,6,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,VOLATILE,0.13
2011,7,CFX,Confort et propreté de la chambre,Très mauvais,%,0.1,VOLATILE,0.1
2011,8,CFX,Confort et propreté de la chambre,Très mauvais,%,0.1,VOLATILE,0.1
2011,9,CFX,Confort et propreté de la chambre,Très mauvais,%,0.1,VOLATILE,0.13
2011,10,CFX,Confort et propreté de la chambre,Très mauvais,%,0.1,VOLATILE,0.1
2011,11,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,VOLATILE,0.1
2011,12,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,VOLATILE,0.1
2012,1,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,VOLATILE,0.08
2012,2,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,VOLATILE,0.09
2012,3,CFX,Confort et propreté de la chambre,Très mauvais,%,0.1,VOLATILE,0.1
2012,4,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,VOLATILE,0.11
2012,5,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,VOLATILE,0.12
2012,6,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,VOLATILE,0.13
2012,7,CFX,Confort et propreté de la chambre,Très mauvais,%,0.1,VOLATILE,0.1
2012,8,CFX,Confort et propreté de la chambre,Très mauvais,%,0.1,VOLATILE,0.1
2012,9,CFX,Confort et propreté de la chambre,Très mauvais,%,0.1,VOLATILE,0.13
2012,10,CFX,Confort et propreté de la chambre,Très mauvais,%,0.1,VOLATILE,0.1
2012,11,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,VOLATILE,0.1
2012,12,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,VOLATILE,0.1
2013,1,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,VOLATILE,0.08
2013,2,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,VOLATILE,0.09
2013,3,CFX,Confort et propreté de la chambre,Très mauvais,%,0.1,VOLATILE,0.1
2013,4,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,VOLATILE,0.11
2013,5,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,VOLATILE,0.12
2013,6,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,VOLATILE,0.13
2013,7,CFX,Confort et propreté de la chambre,Très mauvais,%,0.1,VOLATILE,0.1
2013,8,CFX,Confort et propreté de la chambre,Très mauvais,%,0.1,VOLATILE,0.1
2013,9,CFX,Confort et propreté de la chambre,Très mauvais,%,0.1,VOLATILE,0.13
2013,10,CFX,Confort et propreté de la chambre,Très mauvais,%,0.1,VOLATILE,0.1
2013,11,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,VOLATILE,0.1
2013,12,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,VOLATILE,0.1
2017,1,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,,0.08
2017,2,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,,0.09
2017,3,CFX,Confort et propreté de la chambre,Très mauvais,%,0.1,,0.1
2017,4,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,,0.11
2017,5,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,,0.12
2017,6,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,,0.13
2017,7,CFX,Confort et propreté de la chambre,Très mauvais,%,0.1,,0.1
2017,8,CFX,Confort et propreté de la chambre,Très mauvais,%,0.1,,0.1
2017,9,CFX,Confort et propreté de la chambre,Très mauvais,%,0.1,,0.13
2017,10,CFX,Confort et propreté de la chambre,Très mauvais,%,0.1,,0.1
2017,11,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,,0.1
2017,12,CFX,Confort et propreté de la chambre,Très mauvais,%,0.11,,0.1
2011,1,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.87,STABLE,7.62
2011,2,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.9,STABLE,7.82
2011,3,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,8.16,STABLE,8.22
2011,4,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,8.11,STABLE,7.62
2011,5,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.83,STABLE,7.73
2011,6,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.88,STABLE,7.94
2011,7,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.52,STABLE,8.52
2011,8,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.7,STABLE,7.9
2011,9,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.87,STABLE,7.54
2011,10,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.98,STABLE,7.62
2011,11,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.6,STABLE,7.79
2011,12,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.6,STABLE,7.68
2012,1,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.8,STABLE,8.45
2012,2,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.96,STABLE,7.91
2012,3,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.45,STABLE,8.43
2012,4,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.61,STABLE,8.1
2012,5,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.76,STABLE,7.64
2012,6,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.89,STABLE,7.51
2012,7,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,8.12,STABLE,7.9
2012,8,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.96,STABLE,8.3
2012,9,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.84,STABLE,6.95
2012,10,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.86,STABLE,6.93
2012,11,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.89,STABLE,8.21
2012,12,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.86,STABLE,7.65
2013,1,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.52,STABLE,7.68
2013,2,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,8.14,STABLE,8.39
2013,3,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,8.22,STABLE,8.15
2013,4,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.75,STABLE,7.56
2013,5,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.54,STABLE,8.56
2013,6,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.62,STABLE,7.9
2013,7,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.73,STABLE,7.39
2013,8,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.51,STABLE,7.42
2013,9,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,8.28,STABLE,7.92
2013,10,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.81,STABLE,6.72
2013,11,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,8.0,STABLE,8.19
2013,12,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.88,STABLE,8.13
2014,1,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.54,STABLE,8.51
2014,2,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.7,STABLE,7.97
2014,3,CFX,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,,7.97,STABLE,8.02
