year,month,site_code,indicateur,sous_indicateur,unite,value,value_crise,type
2013,11,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,VOLATILE
2013,12,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,VOLATILE
2017,1,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,2.0,2.0,
2017,2,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,
2017,3,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,
2017,4,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,
2017,5,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,
2017,6,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,1.0,
2017,7,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,1.0,
2017,8,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,1.0,
2017,9,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,
2017,10,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,
2017,11,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,
2017,12,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,
2011,1,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2011,2,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2011,3,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2011,4,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2011,5,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2011,6,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.0,VOLATILE
2011,7,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.0,VOLATILE
2011,8,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.0,VOLATILE
2011,9,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2011,10,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2011,11,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2011,12,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,4.0,VOLATILE
2012,1,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,4.0,VOLATILE
2012,2,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,4.0,VOLATILE
2012,3,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2012,4,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2012,5,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2012,6,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.0,VOLATILE
2012,7,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.0,VOLATILE
2012,8,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.0,VOLATILE
2012,9,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2012,10,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2012,11,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2012,12,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,4.0,VOLATILE
2013,1,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,4.0,VOLATILE
2013,2,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2013,3,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2013,4,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2013,5,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2013,6,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.0,VOLATILE
2013,7,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.0,VOLATILE
2013,8,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.0,VOLATILE
2013,9,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.0,VOLATILE
2013,10,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2013,11,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2013,12,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,4.0,VOLATILE
2014,1,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,4.0,VOLATILE
2014,2,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2014,3,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2014,4,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2014,5,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2014,6,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.0,VOLATILE
2014,7,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.0,VOLATILE
2014,8,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.0,VOLATILE
2014,9,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.0,VOLATILE
2014,10,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2014,11,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2014,12,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,4.0,VOLATILE
2015,1,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,4.0,VOLATILE
2015,2,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2015,3,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2015,4,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2015,5,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2015,6,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.0,VOLATILE
2015,7,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.0,VOLATILE
2015,8,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.0,VOLATILE
2015,9,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.0,VOLATILE
2015,10,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2015,11,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2015,12,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2016,1,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,4.0,VOLATILE
2016,2,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2016,3,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2016,4,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2016,5,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2016,6,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.0,VOLATILE
2016,7,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.0,VOLATILE
2016,8,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.0,VOLATILE
2016,9,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.0,VOLATILE
2016,10,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.0,VOLATILE
2016,11,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.0,VOLATILE
2016,12,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,4.0,VOLATILE
2017,1,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.87,
2017,2,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.93,
2017,3,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.92,
2017,4,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.92,
2017,5,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.92,
2017,6,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,1.92,
2017,7,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,1.92,
2017,8,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,1.92,
2017,9,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,1.92,
2017,10,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.38,
2017,11,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,2.92,
2017,12,CFX,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,2.0,3.5,
2011,1,CFX,Les moyens humaines,Praticiens contractuels,personnes,3.0,4.0,VOLATILE
2011,2,CFX,Les moyens humaines,Praticiens contractuels,personnes,3.0,5.0,VOLATILE
2011,3,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,4.0,VOLATILE
2011,4,CFX,Les moyens humaines,Praticiens contractuels,personnes,3.0,4.0,VOLATILE
2011,5,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,3.0,VOLATILE
2011,6,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,2.0,VOLATILE
2011,7,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,2.0,VOLATILE
2011,8,CFX,Les moyens humaines,Praticiens contractuels,personnes,3.0,2.0,VOLATILE
2011,9,CFX,Les moyens humaines,Praticiens contractuels,personnes,3.0,3.0,VOLATILE
2011,10,CFX,Les moyens humaines,Praticiens contractuels,personnes,3.0,3.0,VOLATILE
2011,11,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,4.0,VOLATILE
2011,12,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,4.0,VOLATILE
2012,1,CFX,Les moyens humaines,Praticiens contractuels,personnes,3.0,5.0,VOLATILE
2012,2,CFX,Les moyens humaines,Praticiens contractuels,personnes,3.0,4.0,VOLATILE
2012,3,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,4.0,VOLATILE
2012,4,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,4.0,VOLATILE
2012,5,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,4.0,VOLATILE
2012,6,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,2.0,VOLATILE
2012,7,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,2.0,VOLATILE
2012,8,CFX,Les moyens humaines,Praticiens contractuels,personnes,3.0,2.0,VOLATILE
2012,9,CFX,Les moyens humaines,Praticiens contractuels,personnes,3.0,3.0,VOLATILE
2012,10,CFX,Les moyens humaines,Praticiens contractuels,personnes,3.0,3.0,VOLATILE
2012,11,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,4.0,VOLATILE
2012,12,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,5.0,VOLATILE
2013,1,CFX,Les moyens humaines,Praticiens contractuels,personnes,3.0,4.0,VOLATILE
2013,2,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,4.0,VOLATILE
2013,3,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,3.0,VOLATILE
2013,4,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,4.0,VOLATILE
2013,5,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,3.0,VOLATILE
2013,6,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,2.0,VOLATILE
2013,7,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,2.0,VOLATILE
2013,8,CFX,Les moyens humaines,Praticiens contractuels,personnes,3.0,2.0,VOLATILE
2013,9,CFX,Les moyens humaines,Praticiens contractuels,personnes,3.0,3.0,VOLATILE
2013,10,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,3.0,VOLATILE
2013,11,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,3.0,VOLATILE
2013,12,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,4.0,VOLATILE
2014,1,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,4.0,VOLATILE
2014,2,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,3.0,VOLATILE
2014,3,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,3.0,VOLATILE
2014,4,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,3.0,VOLATILE
2014,5,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,3.0,VOLATILE
2014,6,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,2.0,VOLATILE
2014,7,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,2.0,VOLATILE
2014,8,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,2.0,VOLATILE
2014,9,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,3.0,VOLATILE
2014,10,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,3.0,VOLATILE
2014,11,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,3.0,VOLATILE
2014,12,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,4.0,VOLATILE
2015,1,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,3.0,VOLATILE
2015,2,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,3.0,VOLATILE
2015,3,CFX,Les moyens humaines,Praticiens contractuels,personnes,1.0,2.0,VOLATILE
2015,4,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,3.0,VOLATILE
2015,5,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,3.0,VOLATILE
2015,6,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,2.0,VOLATILE
2015,7,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,1.0,VOLATILE
2015,8,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,2.0,VOLATILE
2015,9,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,2.0,VOLATILE
2015,10,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,2.0,VOLATILE
2015,11,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,2.0,VOLATILE
2015,12,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,3.0,VOLATILE
2016,1,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,3.0,VOLATILE
2016,2,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,3.0,VOLATILE
2016,3,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,2.0,VOLATILE
2016,4,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,3.0,VOLATILE
2016,5,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,2.0,VOLATILE
2016,6,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,2.0,VOLATILE
2016,7,CFX,Les moyens humaines,Praticiens contractuels,personnes,1.0,1.0,VOLATILE
2016,8,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,2.0,VOLATILE
2016,9,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,2.0,VOLATILE
2016,10,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,2.0,VOLATILE
2016,11,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,3.0,VOLATILE
2016,12,CFX,Les moyens humaines,Praticiens contractuels,personnes,2.0,3.0,VOLATILE
2017,1,CFX,Les moyens humaines,Praticiens contractuels,personnes,1.9,3.08,
2017,2,CFX,Les moyens humaines,Praticiens contractuels,personnes,1.84,2.84,
2017,3,CFX,Les moyens humaines,Praticiens contractuels,personnes,1.52,1.94,
2017,4,CFX,Les moyens humaines,Praticiens contractuels,personnes,1.82,2.91,
2017,5,CFX,Les moyens humaines,Praticiens contractuels,personnes,1.82,2.38,
2017,6,CFX,Les moyens humaines,Praticiens contractuels,personnes,1.82,1.92,
2017,7,CFX,Les moyens humaines,Praticiens contractuels,personnes,1.27,0.9,
2017,8,CFX,Les moyens humaines,Praticiens contractuels,personnes,1.87,1.92,
2017,9,CFX,Les moyens humaines,Praticiens contractuels,personnes,1.87,1.9,
2017,10,CFX,Les moyens humaines,Praticiens contractuels,personnes,1.83,1.9,
2017,11,CFX,Les moyens humaines,Praticiens contractuels,personnes,1.82,2.46,
2017,12,CFX,Les moyens humaines,Praticiens contractuels,personnes,1.82,2.9,
2011,1,CFX,Les moyens humaines,Total en ETP,personnes,8.0,11.0,STABLE
2011,2,CFX,Les moyens humaines,Total en ETP,personnes,8.0,10.0,STABLE
2011,3,CFX,Les moyens humaines,Total en ETP,personnes,8.0,10.0,STABLE
2011,4,CFX,Les moyens humaines,Total en ETP,personnes,8.0,11.0,STABLE
2011,5,CFX,Les moyens humaines,Total en ETP,personnes,8.0,11.0,STABLE
2011,6,CFX,Les moyens humaines,Total en ETP,personnes,7.0,10.0,STABLE
2011,7,CFX,Les moyens humaines,Total en ETP,personnes,7.0,10.0,STABLE
2011,8,CFX,Les moyens humaines,Total en ETP,personnes,7.0,11.0,STABLE
2011,9,CFX,Les moyens humaines,Total en ETP,personnes,8.0,12.0,STABLE
2011,10,CFX,Les moyens humaines,Total en ETP,personnes,8.0,11.0,STABLE
2011,11,CFX,Les moyens humaines,Total en ETP,personnes,8.0,12.0,STABLE
2011,12,CFX,Les moyens humaines,Total en ETP,personnes,8.0,11.0,STABLE
2012,1,CFX,Les moyens humaines,Total en ETP,personnes,8.0,11.0,STABLE
2012,2,CFX,Les moyens humaines,Total en ETP,personnes,8.0,11.0,STABLE
2012,3,CFX,Les moyens humaines,Total en ETP,personnes,7.0,12.0,STABLE
2012,4,CFX,Les moyens humaines,Total en ETP,personnes,8.0,11.0,STABLE
2012,5,CFX,Les moyens humaines,Total en ETP,personnes,8.0,10.0,STABLE
2012,6,CFX,Les moyens humaines,Total en ETP,personnes,7.0,10.0,STABLE
2012,7,CFX,Les moyens humaines,Total en ETP,personnes,7.0,10.0,STABLE
2012,8,CFX,Les moyens humaines,Total en ETP,personnes,7.0,10.0,STABLE
2012,9,CFX,Les moyens humaines,Total en ETP,personnes,8.0,11.0,STABLE
2012,10,CFX,Les moyens humaines,Total en ETP,personnes,8.0,11.0,STABLE
2012,11,CFX,Les moyens humaines,Total en ETP,personnes,8.0,11.0,STABLE
2012,12,CFX,Les moyens humaines,Total en ETP,personnes,8.0,11.0,STABLE
2013,1,CFX,Les moyens humaines,Total en ETP,personnes,7.0,10.0,STABLE
2013,2,CFX,Les moyens humaines,Total en ETP,personnes,8.0,11.0,STABLE
2013,3,CFX,Les moyens humaines,Total en ETP,personnes,8.0,10.0,STABLE
2013,4,CFX,Les moyens humaines,Total en ETP,personnes,8.0,11.0,STABLE
2013,5,CFX,Les moyens humaines,Total en ETP,personnes,7.0,11.0,STABLE
2013,6,CFX,Les moyens humaines,Total en ETP,personnes,7.0,10.0,STABLE
2013,7,CFX,Les moyens humaines,Total en ETP,personnes,7.0,10.0,STABLE
2013,8,CFX,Les moyens humaines,Total en ETP,personnes,7.0,11.0,STABLE
2013,9,CFX,Les moyens humaines,Total en ETP,personnes,9.0,11.0,STABLE
2013,10,CFX,Les moyens humaines,Total en ETP,personnes,8.0,11.0,STABLE
2013,11,CFX,Les moyens humaines,Total en ETP,personnes,8.0,12.0,STABLE
2013,12,CFX,Les moyens humaines,Total en ETP,personnes,8.0,11.0,STABLE
2017,1,CFX,Les moyens humaines,Total en ETP,personnes,6.28,10.02,
2017,2,CFX,Les moyens humaines,Total en ETP,personnes,7.77,10.93,
2017,3,CFX,Les moyens humaines,Total en ETP,personnes,8.76,10.31,
2017,4,CFX,Les moyens humaines,Total en ETP,personnes,7.77,10.87,
2017,5,CFX,Les moyens humaines,Total en ETP,personnes,6.1,10.65,
2017,6,CFX,Les moyens humaines,Total en ETP,personnes,6.77,9.87,
2017,7,CFX,Les moyens humaines,Total en ETP,personnes,6.77,9.87,
2017,8,CFX,Les moyens humaines,Total en ETP,personnes,6.77,10.65,
2017,9,CFX,Les moyens humaines,Total en ETP,personnes,9.43,10.8,
2017,10,CFX,Les moyens humaines,Total en ETP,personnes,7.77,10.87,
2017,11,CFX,Les moyens humaines,Total en ETP,personnes,7.77,11.65,
2017,12,CFX,Les moyens humaines,Total en ETP,personnes,7.77,10.86,
2011,1,CFX,Les moyens humaines,Total médecins (effectif physique),personnes,13.0,23.0,VOLATILE
2011,2,CFX,Les moyens humaines,Total médecins (effectif physique),personnes,12.0,20.0,VOLATILE
2011,3,CFX,Les moyens humaines,Total médecins (effectif physique),personnes,10.0,16.0,VOLATILE
2011,4,CFX,Les moyens humaines,Total médecins (effectif physique),personnes,11.0,19.0,VOLATILE
2011,5,CFX,Les moyens humaines,Total médecins (effectif physique),personnes,11.0,16.0,VOLATILE
2011,6,CFX,Les moyens humaines,Total médecins (effectif physique),personnes,11.0,10.0,VOLATILE
2011,7,CFX,Les moyens humaines,Total médecins (effectif physique),personnes,10.0,9.0,VOLATILE
2011,8,CFX,Les moyens humaines,Total médecins (effectif physique),personnes,13.0,10.0,VOLATILE
2011,9,CFX,Les moyens humaines,Total médecins (effectif physique),personnes,12.0,15.0,VOLATILE
2011,10,CFX,Les moyens humaines,Total médecins (effectif physique),personnes,13.0,14.0,VOLATILE
2011,11,CFX,Les moyens humaines,Total médecins (effectif physique),personnes,11.0,18.0,VOLATILE
2011,12,CFX,Les moyens humaines,Total médecins (effectif physique),personnes,11.0,22.0,VOLATILE
2012,1,CFX,Les moyens humaines,Total médecins (effectif physique),personnes,14.0,23.0,VOLATILE
2012,2,CFX,Les moyens humaines,Total médecins (effectif physique),personnes,12.0,20.0,VOLATILE
2012,3,CFX,Les moyens humaines,Total médecins (effectif physique),personnes,10.0,17.0,VOLATILE
2012,4,CFX,Les moyens humaines,Total médecins (effectif physique),personnes,11.0,18.0,VOLATILE
2012,5,CFX,Les moyens humaines,Total médecins (effectif physique),personnes,11.0,17.0,VOLATILE
2012,6,CFX,Les moyens humaines,Total médecins (effectif physique),personnes,11.0,10.0,VOLATILE
2012,7,CFX,Les moyens humaines,Total médecins (effectif physique),personnes,10.0,10.0,VOLATILE
2012,8,CFX,Les moyens humaines,Total médecins (effectif physique),personnes,12.0,11.0,VOLATILE
2012,9,CFX,Les moyens humaines,Total médecins (effectif physique),personnes,12.0,14.0,VOLATILE
2012,10,CFX,Les moyens humaines,Total médecins (effectif physique),personnes,14.0,15.0,VOLATILE
2012,11,CFX,Les moyens humaines,Total médecins (effectif physique),personnes,11.0,14.0,VOLATILE
