ANNEE,INDICATEUR,SOUS-INDICATEUR,PLF,CFX,TOTAL,UNITE
2012,Greffes,Greffes réalisées,,,314,greffes
2016,Recherche,Groupes de recherche clinique (GRC),,,8,groupes
2015,Plateux Techniques,Hématologie (BHN),1 179 103,8 783,1 187 886,actes
2015,Transplantations,Hépatiques (Foie),,,109,transplations
2015,Hospitalisation,Hospitalisations,,,168 394,hospitalisations
2015,Sejour MCO,Hospitalisations Ambulatoire,93558,1614,95172,sejours
2015,Sejour MCO,Hospitalisations Complète,68533,4689,73222,sejours
2012,Hospitalisation,Hospitalisations totales,,,155 900,hospitalisations
2011,Plateux Techniques,Imagerie,274 235,8 417,282 652,actes
2012,Plateux Techniques,Imagerie,333 986,12 481,346 467,actes
2012,Séjours MCO par pôle,Imagerie,,,347,sejours
2015,Plateux Techniques,Imagerie,255680,11271,266951,actes
2015,Séjours MCO par pôle,Imagerie Séjours >24h,,,321,sejours
2015,Sejour,Journées en psychiatrie,42945,8295,51240,sejours
2016,Sejour,Journées en psychiatrie,,,50690,sejours
2015,Sejour,Journées en SLD,12946,54882,67828,sejours
2016,Sejour,Journées en SLD,,,67065,sejours
2015,Sejour,Journées en SSR,36428,61604,98032,sejours
2016,Sejour,Journées en SSR,,,97928,sejours
2011,Activités en actes,Laboratoires,6 228 317,237 943,6 466 260,actes
2012,Activités en actes,Laboratoires,6 255 833,130 657,6 386 490,actes
2012,Transplantations,Moelle osseuse,,,51,transplations
2015,Transplantations,Moelle Osseuse,,,66,transplations
2012,Sejour par Pole,MSN (Maladies du Système Nerveux),,,6 198,sejours
2012,Sejour par Pole,MSN (Maladies du Système Nerveux),,,18 398,sejours
2015,Sejour par Pole,MSN (Maladies du Système Nerveux),,,6716,sejours
2012,Causes d'hospitalisation,Naissances,,,2 457,naissances
2011,Mode d'hospitalisation,Nombre de journées psychiatriques,28 396,6 176,,sejours
2012,Mode d'hospitalisation,Nombre de journées psychiatriques,30 557,6 643,,sejours
2011,Mode d'hospitalisation,Nombre de journées SLD,13 578,90 799,104 377,sejours
2012,Mode d'hospitalisation,Nombre de journées SLD,13 365,76 129,89 494,sejours
2011,Mode d'hospitalisation,Nombre de journées SSR,23 730,45 327,69 057,sejours
2012,Mode d'hospitalisation,Nombre de journées SSR,21 709,51 704,73 413,sejours
2012,Transplantations,Nombre de prélèvements d’organes,,,32,prelevements
2011,Mode d'hospitalisation,Nombre de séjours Chirurgie,23 228,,,sejours
2012,Mode d'hospitalisation,Nombre de séjours Chirurgie,23 838,,,sejours
2011,Mode d'hospitalisation,Nombre de séjours en ambulatoire,83 911,1 080,84 911,sejours
2012,Mode d'hospitalisation,Nombre de séjours en ambulatoire,86 529,1 184,87 713,sejours
2011,Mode d'hospitalisation,Nombre de séjours MCO,64 356,2 898,67 254,sejours
2012,Mode d'hospitalisation,Nombre de séjours MCO,64 693,3 494,68 187,sejours
2011,Mode d'hospitalisation,Nombre de séjours Médecine,121 073,3 978,,sejours
2012,Mode d'hospitalisation,Nombre de séjours Médecine,122 825,4 978,,sejours
2012,Causes d'hospitalisation,Obstétrique,,,4 548,sejours
2015,Causes d'hospitalisation,Obstétrique,,,4 361,sejours
2012,Séjours en ambulatoire par pôle,ORPHÉ,,,31 945,sejours
2012,Séjours MCO par pôle,ORPHÉ,,,2 925,sejours
2015,Séjours MCO par pôle,ORPHÉ,,,3175,sejours
2011,Plateux Techniques,Parasitologie (P),4 227,,,actes
2012,Plateux Techniques,Parasitologie (P),7,,,actes
2015,Plateux Techniques,Parasitologie (P),38,0,38,actes
2011,Urgences,Passages aux urgences,,,83 002,passages
2012,Urgences,Passages aux urgences,,,85 993,passages
2012,Urgences,Passages aux urgences,,,85 993,passages
2015,Urgences,passages aux urgences,,,121 721,passages
2015,Urgences,Passages aux urgences,,,127678,passages
2015,Urgences,Passages urgences spécialisées,,,61651,passages
2012,Causes d'hospitalisation,Pathologies cancéreuses,,,46 789,sejours
2015,Causes d'hospitalisation,Pathologies cancéreuses,,,59 017,sejours
2012,Causes d'hospitalisation,Pathologies cardio-vasculaires,,,15 275,sejours
2015,Causes d'hospitalisation,Pathologies cardio-vasculaires,,,15 938,sejours
2012,Causes d'hospitalisation,Pathologies de l’appareil digestif,,,6 286,sejours
2012,Causes d'hospitalisation,Pathologies de l’appareil génito-urinaire,,,11 966,sejours
2015,Causes d'hospitalisation,Pathologies Digestives,,,8 566,sejours
2012,Causes d'hospitalisation,"Pathologies endocriniennes, métaboliques et nutritionnelles",,,11 611,sejours
2015,Causes d'hospitalisation,"Pathologies endocriniennes, métaboliques et nutritionnelles",,,12 552,sejours
2015,Causes d'hospitalisation,Pathologies Génito-urinaires,,,12 154,sejours
2012,Causes d'hospitalisation,Pathologies infectieuses,,,3545,sejours
2015,Causes d'hospitalisation,Pathologies infectieuses,,,3 552,sejours
2012,Causes d'hospitalisation,Pathologies neurologiques,,,25 843,sejours
2015,Causes d'hospitalisation,Pathologies neurologiques,,,27 748,sejours
2015,Causes d'hospitalisation,Pathologies orthopédiques et traumatologiques,,,10 850,sejours
2012,Causes d'hospitalisation,Pathologies orthopédiques et traumatologiques,,,10 064,sejours
2011,Urgences,Patients admis après passage aux urgences,,,6 083,patients
2012,Urgences,Patients admis après passage aux urgences,,,10 063,patients
2015,Urgences,Patients pris en charge (total),,,1200000,patients
2015,Plateux Techniques,Pharmacologie (PHN),314 317,0,314 317,actes
2011,Plateux Techniques,Pharmacologie (PHN),232 496,,,actes
2012,Plateux Techniques,Pharmacologie (PHN),274 913,,,actes
2015,Recherche,PHRC,,,80,phrc
2015,Plateux Techniques,Plateux tumorales,22 949,410,23 359,seances
2012,Séjours en ambulatoire par pôle,Pôle gériatrique,,,1 184,sejours
2012,Séjours MCO par pôle,Pôle gériatrique du Val-de-Marne,,,3 494,sejours
2012,Séjours en ambulatoire par pôle,PRAGUES,,,2 591,sejours
2012,Séjours MCO par pôle,PRAGUES,,,13 505,sejours
2015,Séjours MCO par pôle,PRAGUES,,,14657,sejours
2016,Recherche,Programmes d’éducation thérapeutique,,,35,programmes
2012,Mission d'enseignement,Publications,,,31500000,€
2015,Mission d'enseignement,Publications,,,39800000,€
2015,Recherche,Publications catégorie A,,,537,publications
2015,Recherche,Publications scientifiques,,,1 985,publications
2016,Recherche,Publications scientifiques,,,1982,publications
2011,Activités en séances,Radiothérapie,17 026,0,17 026,actes
2012,Activités en séances,Radiothérapie,16 136,0,16 136,actes
2015,Plateux Techniques,Radiothérapie,15 880,0,15 880,seances
2015,Recherche,Recettes recherche,,,1630000,€
2015,Transplantations,Rénales (Rein),,,104,transplations
2012,Sejour,Séjours ≥ 24h,,,68 187,sejours
2012,Sejour,séjours en ambulatoire,,,87 713,sejours
2015,Sejour,séjours en ambulatoire,,,95 172,sejours
2015,Sejour,séjours en hospitalisation complète,,,73 222,sejours
2015,Sejour,séjours en hospitalisation complète,,,75079,sejours
2015,Sejour,séjours en hospitalisation complète,,,100319,sejours
2015,Urgences ,Service Accueil Urgences (SAU),,,59072,passages
2011,Activités en actes,Soins dentaires,383 041,22 357,405 398,actes
2012,Activités en actes,Soins dentaires,377 686,31 681,409 367,actes
2015,Plateux Techniques,Soins dentaires,25529,7318,32847,actes
2012,Transplantations,Transplantations,,,314,transplations
2015,Transplantations,Transplantations,,,378,transplations
2012,Transplantations,Transplantations cardiaques,,,80,transplations
2012,Transplantations,Transplantations hépatiques,,,55,transplations
2012,Transplantations,Transplantations rénales,,,74,transplations
2015,Urgences ,Urgences dentaires,,,62649,passages
2012,Recherche,Valorisation (brevets),,,700000,€
2016,Hospitalisation,Nombre de services,,,73,services
